,JD,Body,RA,Dec,Dist,Dist_Sun
695,2274274.132530146,Sun,10.283125,10.696388888888889,1.009,0.0
698,2274294.1352683716,Sun,11.493413888888888,3.288472222222222,1.003,0.0
701,2274314.1380065973,Sun,12.699252777777778,-3.472027777777778,0.998,0.0
704,2274334.140744823,Sun,13.944555555555556,-10.03275,0.992,0.0
707,2274354.143483049,Sun,15.267430555555556,-17.82713888888889,0.988,0.0
710,2274374.1462212745,Sun,16.680641666666666,-21.747083333333332,0.984,0.0
713,2274394.1489595002,Sun,18.153569444444443,-22.5155,0.983,0.0
716,2274414.151697726,Sun,19.62047777777778,-20.381833333333333,0.984,0.0
719,2274434.1544359517,Sun,21.01963888888889,-16.991083333333332,0.987,0.0
722,2274454.1571741775,Sun,22.329147222222222,-9.562555555555555,0.991,0.0
725,2274474.159912403,Sun,23.568533333333335,-1.1935,0.996,0.0
728,2274494.162650629,Sun,0.77815,5.026611111111111,1.002,0.0
731,2274514.1653888547,Sun,2.001316666666667,12.272,1.008,0.0
734,2274534.1681270804,Sun,3.2733138888888886,18.19263888888889,1.012,0.0
737,2274554.170865306,Sun,4.607722222222222,22.108555555555558,1.015,0.0
740,2274574.173603532,Sun,5.9855833333333335,23.498611111111114,1.017,0.0
743,2274594.1763417576,Sun,7.362663888888888,22.166305555555553,1.016,0.0
746,2274614.1790799834,Sun,8.694944444444445,18.313444444444446,1.014,0.0
749,2274634.181818209,Sun,9.963494444444443,12.460055555555554,1.01,0.0
752,2274654.184556435,Sun,11.181572222222222,5.279861111111111,1.005,0.0
755,2274674.1872946606,Sun,12.384411111111111,-1.4961111111111112,0.999,0.0
758,2274694.1900328863,Sun,13.615408333333333,-9.879416666666666,0.994,0.0
761,2274714.192771112,Sun,14.915333333333333,-15.2685,0.989,0.0
764,2274734.195509338,Sun,16.305977777777777,-20.55538888888889,0.985,0.0
767,2274754.1982475636,Sun,17.768866666666664,-22.536472222222223,0.983,0.0
770,2274774.2009857893,Sun,19.24408888888889,-21.609194444444444,0.984,0.0
773,2274794.203724015,Sun,20.664788888888886,-17.569305555555555,0.986,0.0
776,2274814.206462241,Sun,21.99719166666667,-11.717888888888888,0.99,0.0
779,2274834.2092004665,Sun,23.251333333333335,-3.1589722222222223,0.995,0.0
782,2274854.2119386923,Sun,0.46434166666666665,3.017916666666667,1.001,0.0
785,2274874.214676918,Sun,1.6802194444444443,10.489472222222222,1.006,0.0
788,2274894.2174151437,Sun,2.937077777777778,16.822416666666665,1.011,0.0
791,2274914.2201533695,Sun,4.2556111111111115,21.31802777777778,1.015,0.0
794,2274934.222891595,Sun,5.625911111111112,23.39902777777778,1.017,0.0
